condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
sidebar-warning,news-result,2.9812078807556994,0.001435569106789658,0.01925509942425685,1.0389696377401336,0.026446690465885547,,,True,20.62,47715
strong-downranking,disinfo-result,-20.26553280076487,0.0,-0.14575789688953406,0.4968734999935135,0.03567858528137269,,,True,2.9,36513
strong-downranking,news-result,3.8244720832161314,6.552629690759204e-05,0.02650324557717365,1.0537817899800788,0.02865301607750448,,,True,20.92,36513
strong-downranking,other-result,7.029308589623409,1.0378364834195963e-12,0.04872092126879313,1.0721898952417677,0.021003128440583607,,,True,33.98,36513
weak-downranking,disinfo-result,-11.588811092555892,0.0,-0.07779525028041812,0.7107400839458256,0.04252097608284344,,,True,4.15,42471
weak-downranking,news-result,3.091255859786806,0.0009965590481333386,0.020566787683870213,1.0416444362809616,0.027292767082349956,,,True,20.68,42471
weak-downranking,other-result,3.2431625483592716,0.0005910537453165388,0.021581799217680997,1.0318187106891656,0.019711026949285726,,,True,32.7,42471
mainline-neutral,disinfo-result,-1.6041652295235194,0.05433881838378252,-0.01033995896396317,0.9588756309029214,0.050487484158685314,,,False,5.6,48114
mainline-neutral,intervention-clicks,,,,,,0.0006650870848401712,0.0002303642736222281,,0.07,48114
mainline-neutral,news-result,1.0395290451706636,0.14927937851955508,0.006700113043526357,1.0134969497636568,0.02594591145157099,,,False,20.12,48114
mainline-neutral,no-result,-0.13972485658378683,0.4444386931717902,-0.0009005704724156516,0.9989551856176676,0.014756481018256662,,,False,42.58,48114
mainline-neutral,other-result,0.055536647341249384,0.4778554673164107,0.00035795104928770805,1.0005255842410303,0.018726897493714256,,,False,31.71,48114
mainline-refutation,disinfo-result,-1.853063979900166,0.03193659443475916,-0.011944828529846907,0.9525655009293589,0.050248863421632595,,,False,5.56,48109
mainline-refutation,intervention-clicks,,,,,,0.0005612255503128313,0.00021163608593359744,,0.06,48109
mainline-refutation,news-result,2.2826916382757516,0.011224269341899462,0.014713342982589417,1.0297277740365662,0.026231120297443233,,,False,20.44,48109
mainline-refutation,no-result,-0.40632039546915943,0.3422536007399253,-0.002618931267081459,0.996961988389292,0.014740352059517736,,,False,42.49,48109
mainline-refutation,other-result,-0.6132223937769135,0.26986464979477454,-0.003952518750518497,0.9942014018523273,0.018652713521928765,,,False,31.51,48109
mainline-warning,disinfo-result,-0.016225638019426784,0.49352719098631326,-0.00010461961719132606,0.9995798457425829,0.05205250873875755,,,False,5.83,48040
mainline-warning,intervention-clicks,,,,,,0.0005412156536219817,0.0002079802956873718,,0.05,48040
mainline-warning,news-result,2.394756577553623,0.008315701317542556,0.015441186136223917,1.0312067752107654,0.02626638528312153,,,False,20.47,48040
mainline-warning,no-result,-1.6522298531945327,0.04924385144055021,-0.010653307083207553,0.9876495820196916,0.014668404579973426,,,False,42.1,48040
mainline-warning,other-result,-0.3022063188906316,0.38124739377045824,-0.0019485661593954262,0.9971401948657791,0.018694217123352286,,,False,31.6,48040
news,disinfo-result,-2.3681202914950834,0.00893936094064951,-0.015294396965340185,0.9394586415787158,0.04984644276202921,,,False,5.48,47759
news,intervention-clicks,,,,,,0.07577629347348144,0.002373469690994459,,7.58,47759
news,news-result,0.019358859366038362,0.492277414861219,0.00012500567320616884,1.000251193666941,0.025761611496015746,,,False,19.86,47759
news,no-result,-1.2736065299458998,0.10140144843551246,-0.008224089324287753,0.99046398121238,0.014713756349012397,,,False,42.22,47759
news,other-result,2.5046670530244914,0.006128335499953175,0.016173389348130396,1.0238204643397024,0.019036122431373093,,,False,32.44,47759
sidebar-neutral,disinfo-result,-1.748985277238831,0.04014678218592893,-0.011290277747715904,0.9551367391218242,0.05042215952544038,,,False,5.58,47836
sidebar-neutral,intervention-clicks,,,,,,0.002132285308136132,0.00041336888727295596,,0.21,47836
sidebar-neutral,news-result,2.486601129999523,0.006448495394218545,0.016050325601693727,1.0324451723702328,0.026315904039010185,,,False,20.5,47836
sidebar-neutral,no-result,0.02006820977738023,0.4919944799793514,0.00012953378915470104,1.0001502927173127,0.014787985147377558,,,False,42.63,47836
sidebar-neutral,other-result,-1.2961124909759552,0.09746836608899812,-0.008366071377373663,0.9877372164187289,0.018603272523197822,,,False,31.3,47836
sidebar-refutation,disinfo-result,-0.9789194373761545,0.1638098936438439,-0.006303665762383948,0.9748323555664055,0.051044406604836,,,False,5.69,48293
sidebar-refutation,intervention-clicks,,,,,,0.0026297807135609716,0.0004567745990459466,,0.26,48293
sidebar-refutation,news-result,1.4890900421107256,0.06823182982172082,0.009588888757747327,1.0193370875455705,0.02602418615015467,,,False,20.23,48293
sidebar-refutation,no-result,-0.746249469747031,0.22775836474205446,-0.0048053522302464735,0.9944266215630305,0.014705119161887992,,,False,42.39,48293
sidebar-refutation,other-result,0.002002551033666322,0.49920109825796966,1.2895094634979287e-05,1.0000189327522124,0.018703391181344786,,,False,31.69,48293
sidebar-warning,disinfo-result,-1.2018800557696807,0.1147050013369737,-0.007763185559386987,0.96904813117358,0.0509849246959132,,,False,5.66,47715
sidebar-warning,intervention-clicks,,,,,,0.002158650319605994,0.0004164381456308818,,0.22,47715
sidebar-warning,no-result,-2.5580286992733887,0.005263370211280427,-0.01652205272857965,0.9808548243997254,0.014637348168079711,,,False,41.81,47715
sidebar-warning,other-result,0.7417354016304211,0.22912383309281992,0.0047906919257560965,1.0070403445585903,0.018843174461127266,,,False,31.91,47715
strong-downranking,no-result,-1.2200948204645135,0.11121446591706796,-0.008466658017464379,0.9901829016547959,0.01582603673982519,,,False,42.2,36513
weak-downranking,no-result,-0.44526559900470625,0.32806391263948254,-0.0029637716660280145,0.9965620563195199,0.01522367280811876,,,False,42.48,42471
